"","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","series","episode","technical","result"
"1","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,1,11,"IN"
"2","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,2,9,"IN"
"3","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,3,5,"IN"
"4","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,4,8,"OUT"
"5","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,5,NA,NA
"6","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,6,NA,NA
"7","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,7,NA,NA
"8","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,8,NA,NA
"9","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,9,NA,NA
"10","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",4,10,NA,NA
"11","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,1,11,"IN"
"12","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,2,9,"IN"
"13","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,3,5,"IN"
"14","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,4,8,"OUT"
"15","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,5,NA,NA
"16","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,6,NA,NA
"17","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,7,NA,NA
"18","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,8,NA,NA
"19","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,9,NA,NA
"20","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",4,10,NA,NA
"21","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,1,11,"IN"
"22","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,2,9,"IN"
"23","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,3,5,"IN"
"24","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,4,8,"OUT"
"25","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,5,NA,NA
"26","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,6,NA,NA
"27","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,7,NA,NA
"28","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,8,NA,NA
"29","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,9,NA,NA
"30","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",4,10,NA,NA
"31","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,1,11,"IN"
"32","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,2,9,"IN"
"33","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,3,5,"IN"
"34","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,4,8,"OUT"
"35","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,5,NA,NA
"36","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,6,NA,NA
"37","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,7,NA,NA
"38","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,8,NA,NA
"39","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,9,NA,NA
"40","Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",4,10,NA,NA
"41","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,1,5,"IN"
"42","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,2,1,"STAR BAKER"
"43","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,3,7,"IN"
"44","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,4,8,"IN"
"45","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,5,6,"IN"
"46","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,6,1,"IN"
"47","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,7,6,"IN"
"48","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,8,3,"IN"
"49","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,9,4,"STAR BAKER"
"50","Alice","Fevronia",28,"Geography teacher","Essex",NA,NA,10,10,2,"Runner-up"
"51","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,1,2,"IN"
"52","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,2,6,"IN"
"53","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,3,4,"IN"
"54","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,4,9,"IN"
"55","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,5,8,"IN"
"56","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,6,6,"OUT"
"57","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,7,NA,NA
"58","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,8,NA,NA
"59","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,9,NA,NA
"60","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",6,10,NA,NA
"61","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,1,2,"IN"
"62","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,2,6,"IN"
"63","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,3,4,"IN"
"64","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,4,9,"IN"
"65","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,5,8,"IN"
"66","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,6,6,"OUT"
"67","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,7,NA,NA
"68","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,8,NA,NA
"69","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,9,NA,NA
"70","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,10,NA,NA
"71","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,1,2,"IN"
"72","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,2,6,"IN"
"73","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,3,4,"IN"
"74","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,4,9,"IN"
"75","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,5,8,"IN"
"76","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,6,6,"OUT"
"77","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,7,NA,NA
"78","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,8,NA,NA
"79","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,9,NA,NA
"80","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",6,10,NA,NA
"81","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,1,2,"IN"
"82","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,2,6,"IN"
"83","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,3,4,"IN"
"84","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,4,9,"IN"
"85","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,5,8,"IN"
"86","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,6,6,"OUT"
"87","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,7,NA,NA
"88","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,8,NA,NA
"89","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,9,NA,NA
"90","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",6,10,NA,NA
"91","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,1,2,"IN"
"92","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,2,6,"IN"
"93","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,3,4,"IN"
"94","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,4,9,"IN"
"95","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,5,8,"IN"
"96","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,6,6,"OUT"
"97","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",6,7,NA,NA
